,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
353,286,Sean Marks,33,NOH,C,60,5,838,5.2,10.8,.485,0.1,0.7,.200,5.1,10.1,.503,.491,2.0,2.9,.682,4.0,8.2,12.2,0.9,0.5,2.2,2.3,7.9,12.5,103,107,
354,287,Juan Dixon,30,WAS,PG,50,6,816,6.5,16.6,.395,1.6,4.8,.333,4.9,11.7,.420,.443,2.2,2.5,.872,0.5,3.8,4.3,7.6,2.3,0.4,4.5,4.8,16.9,92,115,
355,288,Will Bynum,26,DET,PG,57,1,803,10.8,23.6,.456,0.2,1.3,.158,10.5,22.3,.474,.461,6.5,8.2,.798,1.3,3.9,5.2,10.8,2.3,0.1,5.2,5.9,28.3,103,109,
356,289,Marcin Gortat,24,ORL,PF,63,3,794,6.9,12.2,.567,0.1,0.1,1.000,6.9,12.2,.565,.570,1.7,2.9,.578,6.3,12.4,18.7,0.9,1.2,3.5,1.6,7.3,15.6,121,97,
357,290,Ricky Davis,29,LAC,SG,36,9,785,5.5,16.3,.339,2.3,7.4,.315,3.2,8.9,.358,.410,2.1,2.4,.861,0.6,3.4,4.0,5.4,1.3,0.3,2.6,4.2,15.4,92,115,
358,291,Renaldo Balkman,24,DEN,PF,53,10,780,7.2,12.9,.558,0.1,0.5,.286,7.1,12.4,.568,.563,2.7,4.2,.646,5.6,7.6,13.3,2.2,3.1,1.5,2.3,6.4,17.2,118,103,
359,292,Julian Wright,21,NOH,SF,54,19,772,7.7,16.6,.466,0.1,1.5,.095,7.6,15.1,.502,.470,1.2,2.1,.567,3.3,7.5,10.8,3.0,2.5,1.3,3.0,3.5,16.8,95,104,
360,293,DeAndre Jordan,20,LAC,C,53,13,771,6.3,9.9,.633,0.0,0.0,,6.3,9.9,.633,.633,2.8,7.4,.385,4.9,11.2,16.0,0.7,0.7,4.0,2.8,6.5,15.4,105,107,
361,294,Mike Taylor,23,LAC,PG,51,5,771,7.4,18.1,.412,0.9,2.7,.325,6.6,15.3,.427,.436,3.8,5.5,.691,1.5,4.4,5.9,7.2,2.4,0.0,4.9,5.7,19.5,91,112,
362,295,Channing Frye,25,POR,PF,63,1,746,8.4,19.8,.423,0.8,2.5,.333,7.6,17.4,.436,.444,1.9,2.7,.722,3.0,7.4,10.4,1.8,1.3,1.2,2.2,7.9,19.5,100,108,
363,296,Ronnie Price,25,UTA,PG,52,17,738,5.4,14.2,.379,1.3,4.3,.311,4.1,9.9,.408,.426,2.4,3.1,.756,0.8,4.0,4.8,7.5,2.7,0.3,4.3,5.2,14.5,91,108,
364,297,Goran Dragić,22,PHO,PG,55,1,728,6.0,15.4,.393,1.4,3.7,.370,4.7,11.7,.400,.438,3.4,4.5,.769,2.3,4.8,7.1,7.6,2.0,0.2,5.0,6.0,16.9,96,113,
365,298,Donté Greene,20,SAC,SF,55,4,725,5.4,16.6,.326,1.8,7.0,.260,3.6,9.6,.375,.381,2.0,2.4,.853,1.3,4.7,6.0,2.1,1.1,1.0,2.6,4.8,14.7,84,116,
366,299,Travis Diener,26,IND,PG,55,0,719,5.1,12.4,.413,3.2,8.2,.390,1.9,4.2,.459,.542,0.8,1.0,.800,0.4,5.5,5.9,8.4,1.8,0.3,1.5,2.9,14.3,122,110,
367,300,Joe Alexander,22,MIL,SF,59,0,716,7.4,17.7,.416,1.2,3.3,.348,6.2,14.4,.432,.449,4.2,6.0,.699,3.2,5.1,8.3,3.0,1.1,2.1,3.8,7.7,20.1,96,108,
368,301,Aaron Gray,24,CHI,C,56,18,715,5.8,12.0,.485,0.0,0.1,.000,5.8,12.0,.488,.485,2.5,4.3,.576,6.1,9.8,15.9,3.3,1.0,1.3,2.9,9.7,14.1,107,107,
369,302,Will Solomon,30,2TM,PG,53,9,712,7.7,17.9,.429,2.0,6.3,.326,5.6,11.6,.484,.486,1.8,2.5,.735,0.9,3.8,4.7,9.7,2.0,0.3,3.9,5.2,19.2,101,112,
370,302,Will Solomon,30,TOR,PG,39,9,544,7.6,17.4,.436,1.4,5.5,.263,6.1,11.9,.516,.478,1.9,2.3,.833,0.9,3.3,4.1,11.8,1.9,0.4,4.7,5.8,18.5,100,112,
371,302,Will Solomon,30,SAC,PG,14,0,168,7.9,19.4,.406,3.9,8.8,.448,3.9,10.6,.371,.508,1.5,3.0,.500,0.9,5.5,6.4,3.0,2.1,0.0,1.5,3.3,21.2,104,115,
372,303,Adam Morrison,24,2TM,SF,52,5,711,6.1,17.0,.359,2.4,7.3,.333,3.7,9.7,.378,.430,1.3,1.8,.739,1.4,4.7,6.1,3.1,0.7,0.3,2.4,5.9,15.9,92,110,
373,303,Adam Morrison,24,CHA,SF,44,5,667,6.2,17.2,.360,2.5,7.5,.337,3.7,9.7,.378,.434,1.3,1.7,.762,1.3,4.6,5.9,3.1,0.7,0.3,2.4,5.9,16.2,92,110,
374,303,Adam Morrison,24,LAL,SF,8,0,44,4.6,13.9,.333,1.2,4.6,.250,3.5,9.3,.375,.375,1.2,2.3,.500,2.3,6.9,9.3,3.5,0.0,0.0,3.5,4.6,11.6,81,110,
375,304,Jamaal Magloire,30,MIA,C,55,12,709,4.9,9.9,.496,0.0,0.0,,4.9,9.9,.496,.496,2.2,4.5,.483,6.2,10.5,16.7,1.7,0.8,1.9,2.4,9.1,12.0,106,106,
376,305,Devean George,31,DAL,SF,43,17,708,4.0,10.5,.380,1.6,5.6,.289,2.4,4.9,.485,.458,1.3,1.6,.773,1.9,3.9,5.8,1.1,1.7,0.8,1.3,4.2,10.9,101,110,
377,306,J.J. Hickson,20,CLE,C,62,0,705,7.7,14.9,.515,0.0,0.0,,7.7,14.9,.515,.515,3.5,5.1,.672,4.0,8.7,12.7,0.7,1.1,2.3,3.5,6.2,18.8,102,101,
378,307,Josh Powell,26,LAL,PF,60,1,703,7.7,17.3,.444,0.0,0.0,,7.7,17.3,.444,.444,2.8,3.6,.760,5.1,7.6,12.7,2.0,0.7,1.2,3.7,7.1,18.1,97,106,
379,308,Matt Harpring,32,UTA,SG,63,2,693,8.3,17.9,.461,0.0,0.1,.000,8.3,17.8,.464,.461,4.1,5.4,.764,3.5,5.7,9.1,2.1,2.2,0.7,2.2,7.6,20.6,105,107,
380,309,Brandan Wright,21,GSW,PF,39,23,688,9.2,17.5,.528,0.0,0.3,.000,9.2,17.2,.537,.528,4.5,6.0,.741,4.4,6.8,11.2,1.5,1.6,2.6,1.6,5.3,23.0,118,112,
381,310,Stephen Graham,26,IND,SG,52,6,684,7.7,18.6,.414,1.5,4.8,.303,6.3,13.8,.453,.453,3.6,4.5,.806,1.5,5.5,7.0,2.4,0.7,0.3,3.3,6.0,20.5,95,112,
382,311,Fabricio Oberto,33,SAS,C,54,11,677,4.9,8.3,.587,0.0,0.1,.000,4.9,8.3,.592,.587,1.6,2.8,.571,5.2,6.2,11.4,4.7,0.6,0.9,3.0,7.6,11.4,115,106,
383,312,Solomon Jones,24,ATL,C,63,0,675,5.3,8.8,.604,0.1,0.2,.500,5.2,8.6,.606,.608,4.2,5.9,.716,4.1,7.1,11.3,1.2,0.6,2.7,2.1,9.9,14.9,124,108,
384,313,Jerryd Bayless,20,POR,PG,53,0,655,5.8,16.0,.365,0.6,2.3,.259,5.2,13.7,.383,.384,7.0,8.7,.806,0.7,4.1,4.8,6.6,1.4,0.2,4.7,6.9,19.3,97,111,
385,314,Damien Wilkins,29,OKC,SG,41,14,636,6.2,17.2,.362,2.2,5.8,.375,4.0,11.4,.355,.425,3.0,3.7,.804,1.6,4.0,5.6,3.0,1.8,0.6,3.0,4.4,17.6,94,111,
386,315,Walter Herrmann,29,DET,SF,59,0,630,7.2,18.2,.396,3.6,10.5,.342,3.6,7.6,.471,.495,1.7,2.2,.760,2.5,6.9,9.4,1.9,0.6,0.4,1.5,3.8,19.7,107,110,
387,316,James Jones,28,MIA,SF,40,1,630,4.7,12.6,.369,2.8,8.1,.344,1.9,4.5,.415,.480,2.2,2.6,.839,1.0,4.2,5.3,1.7,1.0,1.2,1.0,4.9,14.3,108,111,
388,317,Matt Carroll,28,2TM,SG,55,10,616,5.7,15.0,.380,1.1,4.6,.245,4.6,10.3,.441,.418,1.8,2.2,.840,0.6,5.4,6.0,2.4,1.8,0.5,2.9,5.9,14.4,86,108,
389,317,Matt Carroll,28,CHA,SG,34,10,475,6.4,15.8,.406,1.4,5.1,.267,5.0,10.6,.473,.449,1.7,2.2,.789,0.6,5.7,6.3,2.7,2.1,0.6,3.0,6.1,15.9,90,106,
390,317,Matt Carroll,28,DAL,SG,21,0,141,3.3,12.3,.273,0.4,3.0,.125,3.0,9.3,.320,.288,2.2,2.2,1.000,0.7,4.5,5.2,1.1,1.1,0.4,2.6,5.2,9.3,69,112,
391,318,Robin Lopez,20,PHO,C,60,7,614,5.8,11.2,.518,0.0,0.1,.000,5.8,11.1,.522,.518,3.8,5.5,.691,4.2,5.4,9.6,0.7,0.9,3.3,2.3,7.9,15.4,112,111,ROY-9
392,319,Marko Jarić,30,MEM,SG,53,0,605,4.2,12.8,.331,1.0,2.5,.393,3.3,10.3,.316,.369,2.6,3.6,.707,2.0,3.7,5.7,6.5,2.6,1.0,4.3,5.5,12.0,85,109,
393,320,Chris Douglas-Roberts,22,NJN,SG,44,3,585,7.4,16.1,.460,0.3,1.1,.250,7.1,15.0,.476,.469,4.7,5.7,.823,1.3,3.3,4.6,4.7,1.1,0.6,2.8,3.1,19.7,106,115,
394,321,Malik Allen,30,MIL,PF,49,3,579,6.5,15.2,.429,0.0,0.1,.000,6.5,15.1,.432,.429,0.9,1.9,.476,3.1,6.1,9.2,3.1,0.6,1.1,1.8,8.0,14.0,96,110,
395,322,Theo Ratliff,35,PHI,C,46,0,579,3.1,5.9,.531,0.0,0.0,,3.1,5.9,.531,.531,1.9,3.2,.600,4.2,7.6,11.8,0.8,1.6,4.3,1.3,7.1,8.2,117,104,
396,323,Kosta Koufos,19,UTA,C,48,7,565,8.6,16.9,.508,0.0,0.0,,8.6,16.9,.508,.508,3.3,4.7,.706,4.6,8.0,12.6,1.8,1.1,2.8,2.4,6.4,20.4,109,106,
397,324,Acie Law,24,ATL,PG,55,1,560,5.0,13.3,.374,0.9,2.8,.310,4.1,10.5,.391,.406,4.7,5.7,.817,0.6,5.0,5.5,8.2,1.1,0.3,2.8,4.1,15.5,105,111,
398,325,Johan Petro,23,2TM,C,49,22,559,6.7,16.1,.415,0.0,0.2,.000,6.7,15.9,.420,.415,1.5,2.7,.552,3.8,10.6,14.5,1.5,1.7,1.4,2.6,9.8,14.8,90,105,
399,325,Johan Petro,23,OKC,C,22,12,342,6.9,16.9,.407,0.0,0.1,.000,6.9,16.8,.411,.407,1.5,2.2,.667,4.0,10.2,14.2,0.9,2.4,0.7,2.2,7.6,15.3,90,106,
400,325,Johan Petro,23,DEN,C,27,10,217,6.3,14.8,.429,0.0,0.2,.000,6.3,14.5,.435,.429,1.4,3.3,.429,3.5,11.3,14.8,2.3,0.7,2.3,3.1,13.1,14.1,88,104,
401,326,Tyronn Lue,31,2TM,PG,44,0,521,7.1,16.1,.438,2.7,6.2,.435,4.4,10.0,.440,.522,1.4,1.9,.737,0.6,4.0,4.6,6.0,0.8,0.0,2.3,5.4,18.2,108,111,
402,326,Tyronn Lue,31,MIL,PG,30,0,392,7.1,15.7,.454,2.8,6.0,.467,4.4,9.8,.446,.542,1.6,2.1,.750,0.8,3.8,4.6,6.1,0.8,0.0,2.8,5.4,18.7,109,112,
403,326,Tyronn Lue,31,ORL,PG,14,0,129,6.9,17.3,.395,2.4,6.9,.353,4.4,10.5,.423,.465,0.8,1.2,.667,0.0,4.4,4.4,5.6,0.8,0.0,0.8,5.2,16.9,107,106,
404,327,Morris Peterson,31,NOH,SG,43,9,515,7.7,19.4,.399,3.5,9.0,.388,4.2,10.4,.408,.489,1.3,2.0,.632,1.4,7.5,8.9,1.7,1.6,0.2,1.6,5.4,20.3,100,107,
405,328,Shelden Williams,25,2TM,PF,45,0,512,7.0,15.8,.446,0.0,0.2,.000,7.0,15.6,.452,.446,4.6,6.3,.730,4.9,10.5,15.4,1.2,2.2,1.8,3.4,6.4,18.7,99,108,
406,328,Shelden Williams,25,SAC,PF,30,0,305,6.7,14.9,.449,0.0,0.3,.000,6.7,14.5,.460,.449,5.3,7.0,.762,4.2,8.9,13.0,1.3,2.0,1.7,4.3,6.0,18.7,96,111,
407,328,Shelden Williams,25,MIN,PF,15,0,207,7.6,17.2,.441,0.0,0.0,,7.6,17.2,.441,.441,3.5,5.3,.667,6.1,12.9,19.0,1.0,2.5,2.0,2.0,7.1,18.7,104,104,
408,329,Brian Scalabrine,30,BOS,C,39,8,504,5.1,12.0,.421,2.5,6.4,.393,2.5,5.6,.453,.526,1.7,1.9,.889,0.7,4.5,5.3,1.9,0.7,1.1,1.3,7.7,14.3,112,106,
409,330,Luther Head,26,2TM,PG,32,4,498,5.9,15.4,.382,2.1,5.8,.370,3.7,9.6,.389,.451,2.0,2.6,.792,0.6,4.9,5.6,6.2,1.8,0.2,2.7,4.0,15.9,100,107,
410,330,Luther Head,26,HOU,PG,22,4,322,6.4,16.7,.386,2.3,6.3,.368,4.1,10.4,.397,.455,2.3,2.6,.875,0.5,4.0,4.5,5.8,1.0,0.2,2.6,2.5,17.5,101,108,
411,330,Luther Head,26,MIA,SG,10,0,176,4.9,13.0,.372,1.8,4.9,.375,3.0,8.2,.370,.442,1.5,2.4,.625,0.9,6.7,7.6,7.0,3.3,0.3,2.7,6.7,13.0,97,105,
412,331,Mike Dunleavy,28,IND,SG,18,14,495,9.3,23.3,.401,3.2,9.0,.356,6.1,14.3,.430,.470,5.3,6.5,.815,1.4,5.4,6.8,4.4,1.2,0.9,3.8,3.6,27.2,101,111,
413,332,Shannon Brown,23,2TM,SG,48,0,477,8.7,18.4,.473,1.6,4.1,.378,7.2,14.3,.500,.515,3.6,4.4,.821,1.2,3.7,4.9,4.2,2.5,0.8,4.2,4.7,22.6,101,106,
414,332,Shannon Brown,23,CHA,SG,30,0,341,8.9,19.6,.455,1.3,4.5,.286,7.6,15.1,.505,.488,3.8,4.8,.800,1.3,2.5,3.8,4.5,2.9,0.8,4.6,5.3,22.9,97,106,
415,332,Shannon Brown,23,LAL,SG,18,0,136,8.2,15.7,.524,2.2,3.4,.667,6.0,12.4,.485,.595,3.0,3.4,.889,1.1,6.4,7.5,3.7,1.5,0.7,3.4,3.4,21.7,114,106,
416,333,Juwan Howard,35,2TM,SF,42,2,472,8.6,16.9,.510,0.0,0.0,,8.6,16.9,.510,.510,2.6,3.9,.676,3.4,5.3,8.7,3.0,0.8,0.7,3.0,8.1,19.9,104,109,
417,333,Juwan Howard,35,DEN,PF,3,0,22,2.3,4.6,.500,0.0,0.0,,2.3,4.6,.500,.500,0.0,0.0,,2.3,6.9,9.3,4.6,2.3,2.3,0.0,9.3,4.6,144,104,
418,333,Juwan Howard,35,CHA,SF,39,2,450,8.9,17.5,.510,0.0,0.0,,8.9,17.5,.510,.510,2.8,4.1,.676,3.5,5.2,8.7,2.9,0.7,0.6,3.1,8.1,20.7,103,109,
419,334,Malik Rose,34,2TM,PF,38,0,470,4.9,14.1,.344,0.0,0.8,.000,4.9,13.4,.363,.344,4.3,5.5,.784,1.8,8.5,10.4,3.9,1.1,0.3,3.9,7.8,14.0,84,110,
420,334,Malik Rose,34,NYK,PF,18,0,160,3.4,12.7,.268,0.0,1.2,.000,3.4,11.5,.297,.268,2.5,3.4,.727,1.2,8.4,9.6,3.1,0.3,0.3,5.3,7.4,9.3,61,112,
421,334,Malik Rose,34,OKC,PF,20,0,310,5.6,14.9,.378,0.0,0.5,.000,5.6,14.4,.391,.378,5.3,6.6,.800,2.2,8.6,10.8,4.3,1.5,0.3,3.1,7.9,16.5,96,109,
422,335,Ryan Hollins,24,2TM,C,45,3,444,6.0,11.3,.532,0.0,0.0,,6.0,11.3,.532,.532,5.2,8.6,.597,5.5,6.1,11.6,0.8,0.8,3.8,2.9,9.4,17.1,110,106,
423,335,Ryan Hollins,24,CHA,C,18,1,184,5.6,10.3,.543,0.0,0.0,,5.6,10.3,.543,.543,7.7,11.5,.667,5.6,5.0,10.6,1.2,0.9,5.0,3.0,10.0,18.9,118,104,
424,335,Ryan Hollins,24,DAL,C,27,2,260,6.3,11.9,.525,0.0,0.0,,6.3,11.9,.525,.525,3.4,6.7,.515,5.4,6.9,12.3,0.6,0.8,3.0,2.8,8.9,15.9,105,108,
425,336,Rob Kurz,23,GSW,PF,40,5,442,5.6,14.5,.389,1.7,4.2,.395,4.0,10.3,.387,.447,4.4,5.5,.800,3.7,5.3,9.0,2.2,1.5,2.1,1.8,8.6,17.4,111,113,
426,337,Darnell Jackson,23,CLE,PF,51,2,430,4.7,10.8,.430,0.0,0.3,.000,4.7,10.6,.440,.430,3.0,4.4,.686,4.0,6.9,10.9,1.0,1.3,0.5,1.8,9.7,12.3,105,104,
427,338,Jason Collins,30,MIN,C,31,22,422,2.7,8.7,.314,0.0,0.0,,2.7,8.7,.314,.314,1.6,3.5,.464,3.5,5.2,8.7,1.4,1.1,1.6,1.5,9.1,7.1,84,112,
428,339,Stephon Marbury,31,BOS,PG,23,4,414,4.9,14.2,.342,0.8,3.2,.240,4.1,11.0,.372,.369,0.8,1.7,.462,0.3,3.3,3.6,9.6,1.3,0.4,4.7,4.4,11.3,81,106,
429,340,Danilo Gallinari,20,NYK,SG,28,2,412,6.7,15.1,.448,3.9,8.7,.444,2.9,6.4,.453,.576,3.1,3.3,.963,1.6,5.1,6.6,1.8,1.7,0.5,1.8,5.8,20.5,120,111,
430,341,Chucky Atkins,34,2TM,PG,33,0,412,4.2,14.0,.301,1.9,7.1,.263,2.4,7.0,.339,.367,1.9,2.0,.938,0.6,2.4,3.0,7.3,1.2,0.2,2.9,3.4,12.2,91,113,
431,341,Chucky Atkins,34,DEN,PG,14,0,115,4.0,12.0,.333,2.2,7.5,.294,1.8,4.4,.400,.426,1.8,1.8,1.000,0.0,2.7,2.7,12.4,0.9,0.4,4.4,2.2,12.0,99,113,
432,341,Chucky Atkins,34,OKC,PG,19,0,297,4.3,14.8,.291,1.7,6.9,.250,2.6,7.9,.326,.349,1.9,2.1,.917,0.9,2.2,3.1,5.4,1.4,0.2,2.2,3.8,12.3,88,113,
433,342,Gerald Green,23,DAL,SG,38,12,376,11.0,25.1,.439,2.0,6.4,.304,9.1,18.7,.485,.478,3.8,4.5,.844,2.0,5.6,7.5,2.1,1.4,0.7,4.6,7.1,27.8,94,110,
434,343,Melvin Ely,30,NOH,C,31,4,373,5.4,13.9,.389,0.0,0.0,,5.4,13.9,.389,.389,3.4,5.3,.639,4.4,5.0,9.4,2.6,0.3,1.3,3.4,8.5,14.2,91,111,
435,344,Gabe Pruitt,22,BOS,SG,47,0,366,4.5,14.7,.307,2.0,7.0,.292,2.5,7.7,.321,.376,2.5,3.0,.810,1.3,4.9,6.2,5.7,2.2,0.4,2.8,4.9,13.5,93,103,
436,345,Sean Williams,22,NJN,PF,33,0,366,4.4,10.5,.417,0.0,0.0,,4.4,10.5,.417,.417,2.9,4.7,.625,5.0,6.6,11.5,1.9,1.0,4.2,2.9,10.5,11.7,96,108,
437,346,Cuttino Mobley,33,LAC,SG,11,11,365,9.0,20.9,.432,1.7,5.0,.343,7.3,15.9,.459,.473,1.9,2.6,.722,1.3,2.9,4.1,1.7,2.1,0.3,2.6,3.0,21.6,94,114,
438,347,Jason Hart,30,2TM,PG,39,2,348,4.5,14.0,.319,0.0,0.9,.000,4.5,13.2,.341,.319,2.7,3.4,.783,1.9,4.9,6.9,7.2,1.8,0.6,3.3,5.8,11.7,85,112,
439,347,Jason Hart,30,LAC,PG,28,2,312,4.2,14.0,.298,0.0,0.7,.000,4.2,13.4,.313,.298,2.5,3.2,.789,2.0,5.0,7.0,7.2,2.0,0.7,3.2,5.8,10.9,82,112,
440,347,Jason Hart,30,DEN,PG,11,0,36,7.1,14.1,.500,0.0,2.8,.000,7.1,11.3,.625,.500,4.2,5.7,.750,1.4,4.2,5.7,7.1,0.0,0.0,4.2,5.7,18.4,104,114,
441,348,Robert Swift,23,OKC,C,26,10,343,5.5,10.6,.521,0.0,0.0,,5.5,10.6,.521,.521,1.8,2.4,.750,3.1,10.2,13.3,1.3,0.7,2.5,1.2,7.5,12.9,115,107,
442,349,Nazr Mohammed,31,CHA,C,39,1,341,6.5,16.1,.406,0.0,0.0,,6.5,16.1,.406,.406,3.5,6.4,.550,5.6,7.0,12.6,1.3,0.8,2.5,3.7,10.0,16.6,89,106,
443,350,Paul Davis,24,LAC,PF,27,1,320,6.5,16.0,.408,0.0,0.2,.000,6.5,15.8,.412,.408,4.4,5.5,.794,4.6,6.4,10.9,2.0,1.6,0.5,2.1,7.2,17.4,102,112,
444,351,Eduardo Nájera,32,NJN,PF,27,0,319,5.5,12.4,.446,0.8,4.2,.200,4.7,8.2,.571,.480,1.3,3.7,.364,2.8,8.4,11.2,3.2,1.7,0.7,3.0,8.4,13.2,93,110,
445,352,Corey Brewer,22,MIN,SF,15,8,307,6.3,15.4,.411,0.9,2.0,.417,5.5,13.3,.410,.439,2.4,3.2,.737,3.1,5.3,8.4,4.3,2.6,0.5,2.2,6.3,15.9,102,110,
446,353,Etan Thomas,30,WAS,C,26,7,306,5.5,11.4,.485,0.0,0.0,,5.5,11.4,.485,.485,2.8,4.0,.696,4.3,7.1,11.4,1.0,0.5,3.1,3.1,6.0,13.8,99,113,
447,354,Sean Singletary,23,2TM,PG,37,2,303,5.4,14.7,.365,1.7,4.3,.400,3.6,10.4,.350,.424,3.1,3.6,.857,1.7,4.3,6.1,5.0,1.9,0.0,4.0,7.8,15.6,93,110,
448,354,Sean Singletary,23,PHO,PG,13,1,122,4.9,15.2,.324,1.6,4.1,.400,3.3,11.1,.296,.378,2.5,2.5,1.000,2.0,4.5,6.6,4.9,2.5,0.0,2.0,5.7,13.9,99,112,
449,354,Sean Singletary,23,CHA,PG,24,1,181,5.7,14.4,.396,1.8,4.5,.400,3.9,9.9,.394,.458,3.6,4.5,.800,1.5,4.2,5.7,5.1,1.5,0.0,5.4,9.3,16.8,90,109,
450,355,Sean May,24,CHA,PF,24,12,301,7.0,17.7,.398,0.2,0.2,1.000,6.9,17.5,.392,.403,2.5,3.6,.700,3.6,8.8,12.5,1.8,0.9,0.7,4.7,5.8,16.8,82,106,
451,356,Quincy Douby,24,2TM,PG,27,0,300,7.2,18.8,.382,2.4,7.9,.304,4.8,10.9,.438,.445,2.9,3.2,.895,1.0,4.4,5.5,4.3,0.9,0.9,2.2,4.6,19.6,100,116,
452,356,Quincy Douby,24,SAC,PG,20,0,227,6.7,19.7,.341,2.2,8.3,.270,4.5,11.4,.392,.398,3.1,3.4,.933,0.7,4.9,5.6,2.9,0.4,1.1,1.3,5.2,18.8,96,117,
453,356,Quincy Douby,24,TOR,PG,7,0,73,8.6,15.7,.545,2.9,6.4,.444,5.7,9.3,.615,.636,2.1,2.9,.750,2.1,2.9,5.0,8.6,2.1,0.0,5.0,2.9,22.2,113,112,
454,357,Darius Miles,27,MEM,SF,34,0,298,8.6,17.7,.485,0.2,1.1,.167,8.4,16.6,.505,.490,4.1,5.5,.742,3.4,6.8,10.2,3.0,2.0,3.6,3.8,5.7,21.4,102,106,
455,358,Jacque Vaughn,33,SAS,PG,30,0,292,4.5,13.9,.320,0.2,0.2,1.000,4.3,13.8,.311,.327,3.0,3.3,.889,0.7,3.3,4.1,10.2,1.1,0.0,2.8,4.8,12.1,93,108,
456,359,Pops Mensah-Bonsu,25,2TM,PF,22,0,283,7.2,19.0,.379,0.0,0.4,.000,7.2,18.7,.386,.379,6.1,8.9,.688,10.2,10.7,20.9,1.1,1.7,0.9,3.5,8.0,20.5,99,107,
457,359,Pops Mensah-Bonsu,25,SAS,PF,3,0,20,13.6,19.0,.714,0.0,0.0,,13.6,19.0,.714,.714,13.6,19.0,.714,13.6,13.6,27.1,0.0,2.7,2.7,5.4,16.3,40.7,134,95,
458,359,Pops Mensah-Bonsu,25,TOR,PF,19,0,263,6.7,19.0,.354,0.0,0.4,.000,6.7,18.6,.362,.354,5.6,8.1,.683,9.9,10.5,20.4,1.2,1.6,0.8,3.4,7.3,19.0,96,107,
459,360,Alando Tucker,24,PHO,SG,30,1,282,9.2,21.5,.430,1.4,4.1,.348,7.8,17.4,.449,.463,4.6,5.9,.788,3.4,2.1,5.5,2.1,0.9,0.2,2.5,2.5,24.5,106,117,
460,361,Josh McRoberts,21,IND,PF,33,0,279,6.2,14.8,.422,0.0,1.8,.000,6.2,13.0,.479,.422,1.8,2.3,.769,4.6,8.6,13.2,2.9,2.1,2.9,2.1,7.3,14.3,100,105,
461,362,Tarence Kinsey,24,CLE,SG,50,3,277,6.1,13.5,.449,1.4,3.5,.389,4.7,10.0,.471,.500,6.4,7.4,.868,2.0,5.5,7.4,2.0,2.3,0.0,4.3,6.6,19.9,105,103,
462,363,Oleksiy Pecherov,23,WAS,C,32,0,277,7.4,19.2,.386,2.7,8.2,.326,4.8,11.0,.431,.455,4.6,5.5,.828,6.7,7.8,14.5,0.4,1.1,0.6,1.9,6.5,22.1,111,114,
463,364,Anthony Roberson,25,2TM,PG,29,0,276,7.9,21.7,.367,4.7,14.6,.321,3.2,7.0,.462,.475,0.9,0.9,1.000,1.1,2.9,4.0,3.6,1.8,0.2,1.4,3.2,21.5,103,113,
464,364,Anthony Roberson,25,NYK,PG,23,0,253,7.7,20.2,.379,4.7,13.9,.338,2.9,6.3,.469,.495,1.0,1.0,1.000,0.8,2.2,2.9,3.7,2.0,0.2,1.4,3.5,21.0,106,113,
465,364,Anthony Roberson,25,CHI,PG,6,0,23,11.2,38.1,.294,4.5,22.4,.200,6.7,15.7,.429,.353,0.0,0.0,,4.5,11.2,15.7,2.2,0.0,0.0,2.2,0.0,26.9,81,110,
466,365,Mario West,24,ATL,SG,53,3,269,2.8,6.8,.412,0.2,0.2,1.000,2.6,6.6,.394,.426,2.8,6.0,.467,4.8,6.4,11.1,3.8,3.6,0.8,2.6,7.0,8.6,101,104,
467,366,Cartier Martin,24,CHA,SF,33,1,266,5.7,15.7,.364,2.0,6.7,.303,3.7,9.0,.409,.429,4.1,5.1,.800,1.4,5.3,6.7,2.7,1.6,0.8,1.8,6.7,17.6,103,107,
468,367,Lindsey Hunter,38,CHI,PG,28,0,266,5.2,15.9,.329,3.1,9.3,.333,2.1,6.6,.324,.427,0.6,1.0,.600,0.4,1.9,2.3,7.2,3.9,0.2,3.7,5.4,14.2,89,108,
469,368,Kris Humphries,23,TOR,SF,29,0,265,7.5,17.7,.422,0.0,0.0,,7.5,17.7,.422,.422,7.5,9.5,.792,4.7,9.1,13.8,2.0,1.6,1.2,1.6,6.1,22.4,112,108,
470,369,Dee Brown,24,2TM,PG,19,11,261,3.6,9.8,.367,1.4,4.8,.292,2.2,5.0,.440,.439,0.6,1.0,.600,1.4,4.4,5.8,7.2,2.0,0.0,3.4,5.6,9.2,92,115,
471,369,Dee Brown,24,WAS,PG,17,11,233,3.8,10.0,.386,1.4,4.5,.300,2.5,5.4,.458,.455,0.2,0.7,.333,1.6,4.8,6.3,7.5,2.3,0.0,3.2,5.0,9.3,94,114,
472,369,Dee Brown,24,PHO,PG,2,0,28,1.8,8.9,.200,1.8,7.1,.250,0.0,1.8,.000,.300,3.6,3.6,1.000,0.0,1.8,1.8,5.4,0.0,0.0,5.4,10.7,8.9,74,119,
